listen_count,freq
0.0,11550.0
3.0,2498.0
1.0,7206.0
7.0,797.0
9.0,595.0
6.0,960.0
40.0,56.0
4.0,1752.0
32.0,72.0
5.0,1393.0
42.0,42.0
2.0,3833.0
266.0,1.0
19.0,188.0
10.0,461.0
28.0,73.0
143.0,6.0
60.0,13.0
45.0,21.0
63.0,25.0
13.0,328.0
69.0,19.0
61.0,22.0
20.0,168.0
59.0,28.0
102.0,10.0
115.0,7.0
66.0,18.0
11.0,418.0
21.0,158.0
24.0,112.0
53.0,23.0
17.0,221.0
18.0,185.0
35.0,65.0
33.0,59.0
12.0,377.0
39.0,43.0
388.0,1.0
65.0,17.0
85.0,15.0
14.0,293.0
119.0,3.0
27.0,84.0
98.0,8.0
8.0,636.0
129.0,5.0
15.0,257.0
31.0,71.0
16.0,203.0
22.0,142.0
23.0,114.0
156.0,4.0
77.0,16.0
48.0,39.0
47.0,42.0
136.0,5.0
29.0,80.0
30.0,79.0
57.0,28.0
25.0,116.0
84.0,9.0
254.0,1.0
111.0,5.0
43.0,29.0
44.0,40.0
188.0,5.0
70.0,14.0
118.0,10.0
37.0,50.0
147.0,4.0
34.0,68.0
67.0,15.0
38.0,48.0
234.0,3.0
105.0,8.0
64.0,14.0
195.0,1.0
55.0,19.0
106.0,7.0
131.0,9.0
26.0,100.0
49.0,40.0
46.0,52.0
79.0,13.0
140.0,5.0
74.0,12.0
75.0,15.0
36.0,42.0
439.0,1.0
94.0,6.0
175.0,3.0
51.0,31.0
68.0,18.0
50.0,27.0
52.0,31.0
319.0,4.0
127.0,2.0
165.0,4.0
184.0,1.0
58.0,25.0
41.0,50.0
101.0,8.0
416.0,1.0
246.0,1.0
139.0,5.0
121.0,6.0
86.0,9.0
225.0,2.0
274.0,2.0
95.0,10.0
155.0,3.0
273.0,1.0
117.0,4.0
56.0,19.0
159.0,2.0
126.0,5.0
62.0,12.0
97.0,7.0
152.0,3.0
124.0,7.0
90.0,11.0
205.0,2.0
93.0,5.0
122.0,8.0
359.0,1.0
365.0,2.0
99.0,9.0
89.0,8.0
72.0,10.0
123.0,5.0
76.0,14.0
80.0,6.0
113.0,2.0
1839.0,1.0
100.0,13.0
146.0,2.0
211.0,1.0
78.0,16.0
104.0,12.0
82.0,9.0
71.0,18.0
258.0,3.0
81.0,9.0
110.0,6.0
150.0,6.0
73.0,20.0
168.0,2.0
54.0,14.0
109.0,9.0
92.0,9.0
88.0,11.0
395.0,1.0
376.0,1.0
268.0,1.0
186.0,1.0
108.0,3.0
144.0,4.0
164.0,2.0
247.0,1.0
163.0,2.0
231.0,3.0
285.0,3.0
230.0,1.0
116.0,3.0
271.0,2.0
153.0,2.0
176.0,3.0
177.0,5.0
312.0,1.0
107.0,6.0
197.0,3.0
373.0,1.0
91.0,8.0
232.0,1.0
83.0,9.0
125.0,4.0
161.0,1.0
145.0,1.0
196.0,1.0
114.0,5.0
556.0,1.0
221.0,1.0
87.0,7.0
396.0,1.0
215.0,2.0
103.0,6.0
141.0,1.0
269.0,2.0
287.0,1.0
158.0,2.0
1078.0,1.0
133.0,7.0
137.0,2.0
172.0,1.0
112.0,7.0
185.0,1.0
222.0,2.0
272.0,1.0
149.0,1.0
240.0,1.0
132.0,2.0
166.0,3.0
455.0,1.0
154.0,3.0
96.0,2.0
248.0,1.0
545.0,1.0
128.0,5.0
174.0,2.0
401.0,1.0
178.0,2.0
375.0,1.0
377.0,1.0
120.0,7.0
199.0,1.0
292.0,1.0
257.0,1.0
341.0,2.0
480.0,1.0
192.0,3.0
262.0,1.0
130.0,3.0
286.0,1.0
316.0,1.0
204.0,1.0
314.0,1.0
181.0,3.0
148.0,2.0
238.0,2.0
249.0,1.0
191.0,1.0
220.0,1.0
219.0,1.0
169.0,1.0
213.0,1.0
193.0,1.0
844.0,1.0
565.0,1.0
301.0,1.0
162.0,1.0
187.0,1.0
236.0,2.0
602.0,1.0
805.0,1.0
228.0,1.0
135.0,3.0
259.0,1.0
655.0,1.0
200.0,1.0
198.0,2.0
209.0,1.0
142.0,1.0
317.0,1.0
180.0,2.0
151.0,1.0
454.0,1.0
173.0,1.0
171.0,2.0
138.0,2.0
217.0,2.0
308.0,1.0
281.0,1.0
235.0,1.0
207.0,1.0
182.0,1.0
778.0,1.0
160.0,1.0
337.0,1.0
323.0,1.0
290.0,1.0
329.0,1.0
134.0,1.0
385.0,1.0
201.0,1.0
270.0,1.0
242.0,1.0
239.0,1.0
223.0,1.0
190.0,1.0
