follower_count,freq
2.0,3590.0
8.0,670.0
19.0,258.0
1.0,7302.0
25.0,187.0
0.0,7989.0
29.0,134.0
28.0,137.0
14.0,361.0
4.0,1485.0
51.0,66.0
37.0,93.0
33.0,109.0
3.0,2161.0
20.0,271.0
31.0,139.0
34.0,113.0
44.0,63.0
39.0,92.0
167.0,8.0
7.0,760.0
11.0,497.0
52.0,52.0
16.0,314.0
17.0,294.0
9.0,621.0
45.0,80.0
12.0,459.0
121.0,8.0
18.0,291.0
6.0,891.0
5.0,1107.0
66.0,37.0
53.0,61.0
109.0,11.0
58.0,35.0
23.0,214.0
75.0,35.0
143.0,8.0
24.0,206.0
76.0,18.0
158.0,5.0
147.0,2.0
72.0,25.0
27.0,155.0
84.0,21.0
80.0,22.0
10.0,526.0
524.0,1.0
74.0,35.0
86.0,22.0
13.0,374.0
38.0,86.0
32.0,121.0
63.0,31.0
15.0,327.0
26.0,171.0
55.0,50.0
57.0,42.0
70.0,33.0
207.0,3.0
56.0,51.0
41.0,72.0
959.0,1.0
97.0,13.0
252.0,3.0
182.0,2.0
21.0,245.0
60.0,47.0
42.0,76.0
243.0,1.0
30.0,135.0
47.0,65.0
82.0,18.0
50.0,54.0
48.0,56.0
36.0,110.0
22.0,217.0
59.0,49.0
46.0,62.0
35.0,128.0
89.0,17.0
40.0,84.0
49.0,61.0
67.0,27.0
61.0,48.0
85.0,29.0
62.0,31.0
88.0,23.0
43.0,61.0
117.0,12.0
246.0,1.0
248.0,5.0
674.0,1.0
618.0,1.0
322.0,1.0
90.0,15.0
355.0,1.0
69.0,38.0
87.0,17.0
78.0,32.0
164.0,4.0
77.0,20.0
144.0,4.0
312.0,1.0
409.0,1.0
112.0,13.0
152.0,6.0
173.0,3.0
65.0,41.0
91.0,13.0
454.0,2.0
165.0,5.0
81.0,21.0
120.0,8.0
71.0,22.0
136.0,6.0
100.0,6.0
183.0,3.0
146.0,5.0
73.0,33.0
198.0,1.0
123.0,8.0
284.0,1.0
79.0,22.0
130.0,6.0
417.0,2.0
180.0,3.0
154.0,5.0
296.0,4.0
68.0,30.0
131.0,8.0
157.0,2.0
258.0,1.0
386.0,1.0
396.0,1.0
140.0,3.0
124.0,7.0
133.0,3.0
153.0,1.0
54.0,40.0
422.0,1.0
769.0,1.0
106.0,12.0
110.0,7.0
93.0,18.0
331.0,1.0
132.0,3.0
105.0,10.0
309.0,3.0
64.0,32.0
134.0,6.0
98.0,15.0
96.0,13.0
103.0,12.0
94.0,11.0
127.0,6.0
138.0,8.0
983.0,1.0
565.0,1.0
175.0,6.0
119.0,2.0
104.0,9.0
449.0,1.0
126.0,7.0
171.0,3.0
176.0,2.0
297.0,3.0
462.0,1.0
108.0,9.0
95.0,14.0
185.0,2.0
83.0,22.0
174.0,4.0
221.0,2.0
251.0,3.0
863.0,1.0
118.0,8.0
168.0,4.0
816.0,1.0
161.0,2.0
240.0,1.0
498.0,2.0
260.0,1.0
227.0,1.0
116.0,12.0
188.0,2.0
262.0,1.0
234.0,2.0
316.0,1.0
101.0,14.0
416.0,3.0
511.0,1.0
102.0,15.0
148.0,4.0
272.0,1.0
715.0,1.0
92.0,15.0
363.0,1.0
212.0,4.0
291.0,1.0
358.0,1.0
111.0,8.0
113.0,6.0
224.0,4.0
107.0,10.0
114.0,12.0
128.0,5.0
150.0,5.0
361.0,1.0
187.0,2.0
129.0,8.0
177.0,3.0
172.0,4.0
466.0,1.0
218.0,4.0
141.0,7.0
194.0,3.0
279.0,2.0
237.0,2.0
193.0,2.0
394.0,1.0
201.0,1.0
602.0,1.0
216.0,1.0
1008.0,1.0
762.0,1.0
155.0,3.0
170.0,2.0
160.0,6.0
122.0,4.0
428.0,1.0
228.0,1.0
178.0,3.0
516.0,2.0
219.0,1.0
302.0,1.0
294.0,1.0
115.0,12.0
204.0,1.0
163.0,4.0
233.0,1.0
648.0,1.0
1237.0,1.0
388.0,1.0
606.0,1.0
292.0,3.0
247.0,2.0
156.0,2.0
189.0,3.0
403.0,1.0
186.0,4.0
137.0,4.0
254.0,2.0
232.0,3.0
197.0,3.0
99.0,8.0
209.0,1.0
255.0,2.0
203.0,1.0
295.0,1.0
327.0,1.0
236.0,3.0
125.0,4.0
200.0,2.0
261.0,1.0
273.0,1.0
266.0,1.0
282.0,2.0
308.0,1.0
277.0,1.0
1254.0,1.0
1199.0,1.0
553.0,1.0
184.0,1.0
139.0,2.0
205.0,1.0
531.0,1.0
735.0,1.0
181.0,2.0
217.0,3.0
792.0,1.0
329.0,1.0
142.0,2.0
222.0,1.0
353.0,1.0
523.0,1.0
984.0,1.0
499.0,1.0
195.0,1.0
286.0,1.0
220.0,1.0
382.0,1.0
145.0,4.0
359.0,1.0
478.0,1.0
348.0,2.0
259.0,1.0
600.0,1.0
169.0,4.0
199.0,1.0
135.0,3.0
932.0,1.0
307.0,1.0
241.0,1.0
206.0,3.0
408.0,1.0
1078.0,1.0
244.0,2.0
162.0,1.0
569.0,1.0
380.0,1.0
556.0,1.0
229.0,1.0
360.0,1.0
213.0,1.0
384.0,1.0
535.0,1.0
508.0,1.0
310.0,1.0
339.0,1.0
753.0,1.0
324.0,1.0
250.0,1.0
637.0,1.0
1109.0,1.0
694.0,1.0
626.0,1.0
210.0,1.0
376.0,1.0
276.0,1.0
572.0,1.0
477.0,1.0
992.0,1.0
179.0,1.0
609.0,1.0
289.0,1.0
196.0,1.0
356.0,1.0
192.0,1.0
344.0,1.0
305.0,1.0
151.0,1.0
741.0,1.0
925.0,1.0
921.0,1.0
